,Twitter Query: pelucas OR oncológicas OR cáncer OR donar OR donación #oncoayuda OR #donacabello OR #pelucasoncologicas OR #DiaMundialdelCancerdeMama OR #19deoctubre OR #bancodetapitas OR #cabezaenalto OR #octubrerosa -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
21/10/2020 15:06,@farmacia_burgos,Farmacia Reyes de Santiago,Cuando te explores esto es lo que tienes que buscar 👇 ▶️ Bultos o nódulos ▶️ Cambios en el pezón ▶️ Cambios en la piel de la mama ▶️ Menor movilidad al levantar el brazo 👉 Te asesoramos 🔗  #cancerdemama #cancer #cáncer #octubrerosa #farmaciaburgos,1319037329152086016,http://www.farmaciaburgos.com,https://pbs.twimg.com/media/Ek4pdZEWMAITG9S.jpg,,0,0,SocialGest,475,721,7,,16/10/2013,"Burgos, España","Expertas en tratamientos dermatológicos 👩, en #dejardefumar 🚬 y en #cosmetica · 📍Encuéntranos en Avenida Cantabria, Nº 31, 09006 Burgos 📞 947 22 09 02",https://farmaciaburgos.com/,,View
21/10/2020 15:04,@UIEMOficial,Universidad Intercultural del Estado de México,"#OctubreRosa, mes de la sensibilización sobre el cáncer de mama. Para más información, consulta en:",1319036784697921536,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4o9s6XEAE_WjB.jpg,,5,5,Twitter for iPhone,1309,429,6,,7/2/2018,"San Felipe del Progreso, Estad",La UIEM ofrece conocimientos holísticos y de metodología analítica para que el alumno pueda analizar los problemas sociales y ambientales de su entorno.,,,View
21/10/2020 15:02,@QRPoficial,QRP,"Octubre, mes de la sensibilización sobre el cáncer de mama 🎀  #OctubreRosa #QRPsocial #MesDeLaPrevenciónDelCáncerDeMama",1319036469642694656,http://bit.ly/2F10TVd,https://pbs.twimg.com/media/Ek4orG9WMAI9jll.jpg,,8,23,Twitter for iPhone,27407,22127,85,,11/4/2019,LATINOAMÉRICA,@QuarterPress #QuarterRockPress Primera Agencia de Noticias Rock #QRP Por la profesionalización del Periodismo Rock #QuarterRockPressSeDiceQRP #ElRockEstáAquí,http://www.quarterrockpress.com,,View
21/10/2020 14:51,@tucontable_ccs,tucontable,apoya la prevención contra el cáncer de mama y le envía fuerzas a las mujeres y hombres que luchan contra esta enfermedad #tucontable #CancerDeMama #Prevencion #MesRosa #OctubreRosa #apoyo #contabilidad #CCS #Venezuela,1319033572502720512,http://tucontable.com,https://pbs.twimg.com/media/Ek4mCNwXgAEqJ8H.jpg,,1,0,Twitter for Android,1,0,0,,14/10/2020,Caracas-Venezuela,Expertos en contabilidad. Contáctanos al 0212-6334122,http://www.tucontable.com,,View
21/10/2020 14:48,@sntsa_37,Sindicato de Salud de Guanajuato SNTSA37,En el Hospital Materno Infantil de León participando en la elaboración de un corazón que representa apoyo a todas las mujeres que padecen Cancer de Mama. Trabajando en conjunto Autoridades y Representantes sindicales. #OctubreRosa #SNTSA37EnAcción,1319032847018172416,,https://pbs.twimg.com/media/Ek4lYmXXUAEnEHE.jpg,,6,12,Hootsuite Inc.,1138,98,4,,16/4/2013,"Jardín del Cantador #90, Zona ",Misión: Garantizar la satisfacción de las necesidades laborales de las y los profesionales de la salud del ISAPEG y contribuir a elevar su calidad de vida,http://sntsa37.org,,View
21/10/2020 14:47,@bancodetapitas,Banco de Tapitas A.C. ℹ,"Ella es Aime, amiga y compañera de cama de Ari. El día de hoy nos dió una gran enseñanza de vida, decidió donar su cabello a #MovimientoRapunzel. Gracias por compartir un poco de amor con quien lo necesita. #DonaTuCabello #bancodetapitas.",1319032567325028352,,https://pbs.twimg.com/media/Ek4lG7BUUAUHV3J.jpg,,8,16,Twitter for iPhone,7117,1001,20,,16/12/2015,México,"ONG Recolectamos tapitas de plástico para combatir #CáncerInfantil, síguenos si quieres ser parte donde #LosBuenosSomosMás http://bancodetapitas.org",http://www.bancodetapitas.org,,View
21/10/2020 14:47,@SEIEM_,SEIEM,"#OctubreRosa, mes de sensibilización sobre el cáncer de mama, autoexplórate. #ÉchaleUnaManoATuSalud @Edomex @SaludEdomex",1319032545040683008,,https://pbs.twimg.com/media/Ek4lE_0VgAILOKZ.jpg,,2,4,Twitter Web App,7667,153,14,,22/5/2015,,Servicios Educativos Integrados al Estado de México. | @SEDUCedomex,https://www.facebook.com/SEIedomex,,View
21/10/2020 14:43,@SREBNaucalpan,Subdireccion Naucalpan,"#PrevenirEsSalud | El cáncer de mama se puede detectar oportunamente, es importante realizarte revisiones y acudir al médico, #ÉchaleUnaManoATuSalud. Recuerda hacer una cita durante este mes, #OctubreRosa @Edomex @SaludEdomex",1319031640237076480,,https://pbs.twimg.com/media/Ek4kSLxVMAEHgcR.jpg,,3,4,Twitter for iPhone,540,34,0,,9/10/2019,,,,,View
21/10/2020 14:35,@VPITV,VPItv,"El cáncer de mama no distingue de género, raza o posición económica. ¡Revísate con frecuencia! #OctubreRosa",1319029458926534658,,https://pbs.twimg.com/media/Ek4iTZpXUAEMVZS.jpg,,5,7,Hootsuite Inc.,537519,565,1168,✅,18/12/2015,Venezuela,Canal de Noticias EN VIVO 🔴 I Mira nuestra señal aquí: I https://bit.ly/2FXPNmo I Youtube I ROKU | Apple TV | APP | Web |,http://www.vpitv.com,,View
21/10/2020 14:27,@CecytemIxtapal1,CECyTEM Ixtapaluca,#OctubreRosa El Cáncer de mama se puede detectar oportunamente #ÉchaleUnaManoATuSalud. @Edomex @SaludEdomex,1319027568104951809,,https://pbs.twimg.com/media/Ek4f17HXgAUqNDG.jpg,,0,0,Twitter Web App,421,104,1,,11/8/2015,,,,,View
21/10/2020 14:26,@CecytemJocot,CECyTEM Jocotitlán,#OctubreRosa. El cáncer de mama se puede prevenir al detectarlo a tiempo @SaludEdomex te brindan información en: . #ÉchaleUnaManoATuSalud #PrevenirEsSalud,1319027301938393088,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4gV1MUwAAhQXe.jpg,,0,0,Twitter for Android,452,132,2,,31/5/2015,"Jocotitlán, México",,http://facebook.com/CecytemPlantelJocotitlan,,View
21/10/2020 14:15,@CecytemChicolpn,CECyTEM Chicoloapan,#ÉchaleUnaManoATuSalud #OctubreRosa El cáncer de mama se puede detectar oportunamente #PrevenirEsSalud. Infórmate en:  o llama a los números 722 212 64 26 55 58 78 64 02 55 82 84 12 61 @Edomex @SaludEdomex,1319024547274891267,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4cl8gW0AEcJL9.jpg,,0,0,Twitter Web App,643,393,4,,26/5/2015,Chicoloapan de Juárez,,http://facebook.com/CecytemPlantelChicoloapan,,View
21/10/2020 14:14,@CecytemJilotep,CECyTEM Jilotepec,"Acude a tu médico o realiza la autoexploración, el cáncer de mama se puede detectar oportunamente. #OctubreRosa #PrevenirEsSalud @alfredodelmazo",1319024334313295888,,https://pbs.twimg.com/media/Ek4dnbMWMAAVbcq.jpg,,0,0,Twitter for Android,388,165,2,,10/7/2015,,,,,View
21/10/2020 14:10,@CESPDEM,@CESPDEM,"#ÉchaleUnaManoATuSalud El cáncer de mama se puede detectar oportunamente, mastografías y ultrasonidos a partir de los 40 años. #PrevenirEsSalud #OctubreRosa @SaludEdomex @Edomex",1319023151624474624,,https://pbs.twimg.com/media/EjwZFE9X0AABvaS.jpg,,2,5,Twitter Media Studio,5521,208,6,,20/8/2015,,Coordinación Estatal del Servicio Profesional Docente del Estado de México.,http://cespd.edomex.gob.mx,,View
21/10/2020 14:08,@MileSalvini,Mi💚,"Algunas se cortan y donan su pelo, otras se lo tiñen. Algunas llevan un simple lazo rosa. Lo importante es poder representar la Lucha contra el cancer de mama. #OctubreRosa",1319022765068922880,,,,1,4,Twitter for iPhone,2539,850,0,,26/4/2013,"Santa Fe , Argentina",kinesiología y fisiatria 📚 ig:milesalvini81,,,View
21/10/2020 14:06,@MACFUT,MACFUT,LA MEJOR MANERA DE LUCHAR CONTRA EL CANCER DE MAMAS ES PROMOVER LA DETECCION TEMPRANA 💟 #LALCEC #PrevenirEsAmar #Mamografías #Chequeo #Estudio #Salud #octubrerosa🎀 #JuntosContraElCáncerDeMama,1319022308711976963,,https://pbs.twimg.com/media/Ek4bx-9WMAAhB2e.png,,2,3,Twitter Web App,1801,156,10,,25/4/2011,Argentina,Asociacion Civil Mujeres Asociadas a Clubes de Fútbol Argentino,,,View
21/10/2020 14:00,@LaNacionPy,Diario La Nación,"#OctubreRosa | Es importante el constante autocontrol ✋🏽 en la zona mamaria para detectar cualquier irregularidad a tiempo. Ante cualquier molestia, consultá al centro de salud más cercano 🏥 ¡El cáncer de mama se diagnostica si se detecta a tiempo!",1319020636761706497,,pic.twitter.com/eJFIzNEm6z,,4,4,TweetDeck,324129,436,781,✅,13/7/2010,Paraguay,"Información, análisis y opinión hace 25 años. Facebook: http://facebook.com/lanacionpy Instagram: @lanacionpy YouTube: http://youtube.com/LaNacionParaguayGNC",http://www.lanacion.com.py,,View
21/10/2020 13:55,@juliacuellar82,Julia Cuellar,"Seguimos recibiendo sus ilustraciones. Nos censura Facebook así que por favor ayuden a compartir esta convocatoria, apoyen en la sensibilización del cáncer de mama. #CancerAwarenessMonth #pinktober #PinkOctober #OctubreRosa #inktober2020",1319019397382623238,,https://pbs.twimg.com/media/Ek4ZJArX0AETD2i.jpg,,5,3,Twitter for Android,1526,2298,30,,24/7/2009,,"Comunicóloga. Libros: Amor en presente, historias contadas en twitter. Crear en apuros, manual de escritura creativa. Co-creadora de Bitácora52 y BazarFular",http://juliacuellar.net,,View
21/10/2020 13:45,@maac_ac,"Mexicana de Acreditación, MAAC, A.C.","#OctubreRosa, es reconocido mundialmente para crear conciencia sobre el cáncer de mama y así promover la autoexploración, revisiones periódicas y chequeos para poder detectarlo a tiempo. 🎗️🌎",1319017041064382464,,pic.twitter.com/w2t4k4j4M0,,1,2,Twitter Web App,84,6,0,,27/4/2020,Ciudad de México,Asociación Civil autorizada para operar como entidad de acreditación de Organismos de Certificación de Sistemas de Gestión. 📧 contacto@maac-ac.com.mx,https://maac-ac.com.mx/,,View
21/10/2020 13:39,@BomberosBGA,Bomberos de Bucaramanga,¡El #CáncerDeMama No discrimina por condición de sexo! Queremos conmemorar el mes de la Lucha Contra el Cáncer de Mama #OctubreRosa La gente valiente y luchadora es la que inspira y da sentido a la vida ¡Mucho ánimo valientes! 🙌,1319015559963594752,,https://pbs.twimg.com/media/Ek4VqVRW0AIb2wT.jpg,,4,6,Twitter for Android,2093,1910,6,,31/5/2018,"Bucaramanga, Colombia","Prestamos un servicio esencial, enfocado a la prevención y atención integral del riesgo, capacitación y formación. Línea de Emergencia 📞119 👨🏻‍🚒",http://www.bomberosdebucaramanga.gov.co,,View
21/10/2020 13:31,@SalvatiAC,Salvati AC,"En el movimiento #EstamosAquí, trabajamos para que todas las pacientes con cáncer de mama cuenten con atención de calidad en todo el país. En este #OctubreRosa, queremos hacer oír nuestras voces.",1319013419106918408,https://fb.watch/1gl1wcTN6Z/,,,0,0,Twitter Web App,1698,519,24,,3/9/2012,México DF,"Somos una Asociación Civil sin fines de lucro, que apoya a pacientes con cáncer de bajos recursos y a sus familias a mejorar su calidad de vida.",http://www.salvati.org.mx,,View
21/10/2020 13:23,@NewHollandArg,New Holland Argentina,¡Sumate a nuestras #MujeresEnCampaña! 👩🏼‍🌾 Con la compra de esta remera de nuestra colección #OctubreRosa estamos juntos apoyando a MACMA en la prevención y concientización del cáncer de mama. Ingresá a este link para conocer más  Gracias @chechugiorgi 👌,1319011532345384960,http://www.xn--mujeresencampaa-crb.ar,https://pbs.twimg.com/media/Ek4R_wYXIAMGjD-.jpg,,0,3,Twitter for iPhone,2695,476,18,,1/6/2011,Argentina,"Twitter oficial de New Holland Agriculture Argentina. Noticias de la marca, productos, eventos en vivo y mucho más. +54 9 11 60359753",https://youtu.be/OQ8V-d03rgc,,View
21/10/2020 13:22,@CampoEdomex,Secretaría del Campo Edoméx,#OctubreRosa | El cáncer de mama es curable si se detecta a tiempo.,1319011113934196737,,https://pbs.twimg.com/media/Ek4RRvJWMAEwN4Q.jpg,,5,11,Twitter Web App,11560,1901,51,,20/2/2012,"Metepec, Estado de México.",Secretaría del Campo del @edomex,http://www.edomex.gob.mx/sedagro,,View
21/10/2020 13:10,@LESOTHER,Dra. Soto,#OctubreRosa #autoexplórate Mes para la concientización del cáncer de mama. 🌸,1319008230614466561,,https://pbs.twimg.com/media/Ek4O_f_XEAEstBS.jpg,,0,0,Twitter for iPhone,594,966,8,,28/6/2011,La  Verde Antequera,Médico de Cuerpo y Almas.,,,View
21/10/2020 13:04,@VinZinacantepec,Cecytem Zinacantepec,"#OctubreRosa , mes de sensibilización sobre el cáncer de mama . Recuerda realizarte una autoexploración periódicamente #ÉchaleUnaManoATuSalud . @SaludEdomex @Edomex",1319006639257767938,,https://pbs.twimg.com/media/Ek4NgQFXYAQtJZE.jpg,,0,0,Twitter Web App,90,193,0,,3/6/2015,"Zinacantepec, México",,,,View
21/10/2020 13:02,@MILC_Mx,MILC,"En el movimiento #EstamosAquí, trabajamos para que todas las pacientes con cáncer de mama cuenten con atención de calidad en todo el país. En este #OctubreRosa, queremos hacer oír nuestras voces.",1319006133005258752,https://bit.ly/2Hn3RXi,,,0,0,Twitter Web App,384,922,5,,23/9/2015,México,,http://www.milc.org.mx,,View
21/10/2020 12:55,@COBUPEM,COBUPEM,"La detección oportuna del cáncer de mama, es la acción más importante en esta lucha. #EchaleUnaManoATuSalud #OctubreRosa",1319004382898364417,,https://pbs.twimg.com/media/Ek4LfL5W0AAKaz5.jpg,,0,4,Twitter for Android,1401,189,7,,28/2/2019,"Toluca, México",Comisión de Búsqueda de Personas del Edoméx.,,,View
21/10/2020 12:55,@RousFloresN,Rosario Flores,"#bullying de funcionarios a sobreviviente de cáncer en @CSSPanama #Solidaridad #DiaMundialdelCancerdeMama @adelasaltiel @limyueng @CastaliaPascual @AxelRivera06 RT @RousFloresN: @CSSPanama #bullying sobreviviente d cáncer""La agencia css de los andes depto planilla se llama minerva.Donde voy a pagar el css nunca me han pedido contraseña ni en clayton la jefa del depto me dijo que si yo pensaba que tenia empleada @focopanama @AlvaroAlvaradoC",1319004328317898752,https://twitter.com/RousFloresN/status/1318971453656735744,,,2,3,Twitter for Android,100,302,0,,11/11/2016,,Emprendedora,,,View
21/10/2020 12:53,@imdodrog,imdodrog,Hacerte autoexamen para la prevención sobre el cáncer de mama puede salvarte la vida. #vida #venezuela #caracas #barinas #salud #familia #octubre #miercoles #diamundialdelcancerdemama #imdodrogueria,1319003924423213058,,https://pbs.twimg.com/media/Ek4LE-0X0AAIync.jpg,,0,0,Twitter for Android,10,65,0,,13/12/2018,"Chacao, Torre Exa, Caracas","Empresa dedicada a la distribución de equipo médico quirúrgico, descartables y fármacos 💊🔭💉🔬🌡️🏥💉",https://linktr.ee/indodrog,,View
21/10/2020 12:39,@IEECOLIMA,IEE Colima,#Únete a la campaña #OctubreRosa contra el cáncer de mama. El Dr. Daniel Salas nos habla sobre los factores de riesgo y prevención 📹▶️👇🏾,1319000293552443392,https://www.youtube.com/results?search_query=iee+colima,https://pbs.twimg.com/media/Ek4HixxUUAA46MF.jpg,,1,2,Twitter Web App,3243,488,71,,14/4/2011,"Colima, Colima","El Instituto Electoral del Estado de Colima, es un Organismo Público Autónomo, de carácter permanente con personalidad jurídica y patrimonio propio.",http://www.ieecolima.org.mx,,View
21/10/2020 12:35,@VPITV,VPItv,"El cáncer de mama no distingue de género, raza o posición económica. ¡Revísate con frecuencia! #OctubreRosa",1318999274013720576,,https://pbs.twimg.com/media/Ek4G2ZSXUAIu2z9.jpg,,1,5,Hootsuite Inc.,537519,565,1168,✅,18/12/2015,Venezuela,Canal de Noticias EN VIVO 🔴 I Mira nuestra señal aquí: I https://bit.ly/2FXPNmo I Youtube I ROKU | Apple TV | APP | Web |,http://www.vpitv.com,,View
21/10/2020 12:31,@Gestarsalud,Gestarsalud,"“El cáncer es una enfermedad durísima, pero si la tomas de la manera adecuada puede ser la bendición más inesperada, como lo fue para mí”. - Katerine Cabrera. #OctubreRosa #CancerDeMama 📰👉",1318998295054897167,https://bit.ly/34k2D84,https://pbs.twimg.com/media/Ek4F9IdWMAA9o_1.jpg,,0,3,Twitter for iPhone,4498,1008,20,,18/4/2011,Colombia,Asociación de Empresas Gestoras del Aseguramiento en Salud en Colombia. Encuentra aquí temas de salud y bienestar.,http://www.gestarsalud.com,,View
21/10/2020 12:30,@RevistaHC,Revista High Class,"Hace 40 años, hablar del cáncer no era algo frecuente, y menos cuando se trataba de celebridades y famosos —hasta que llegó Betty Ford para instalar una conversación que sigue vigente hasta hoy #OctubreRosa",1318997987691986944,,,,0,2,Twitter for Advertisers (legacy),2589,920,34,,24/8/2010,"Asunción, Paraguay","High Class es una de las pioneras del mercado, con 14 años de trayectoria innovando en el rubro editorial.",http://www.highclass.com.py/,,View
21/10/2020 12:18,@InclusionyCm12,inclusión y compromiso.,"En el marco del día internacional de la lucha contra el cáncer de mama, compartimos información sobre el autoexamen, examen profesional y la mamografía. Prevenir es cuidarte 💗 #OctubreRosa",1318994971232522241,,https://pbs.twimg.com/media/Ek4C6KUWMAcw5ZI.jpg,,1,2,Twitter for Android,35,53,0,,6/4/2020,"La Plata, Argentina",Media 12 Gonnet. Conducción del CEM12 2020 💛💗,http://www.instagram.com/inclusionycompromiso8,,View
21/10/2020 12:13,@FlorEmyGuerra,Emilia Guerra,"Este mes se pinta de rosa para honrar la lucha de las mujeres en México y el mundo contra el cáncer de mama. Pero, sobre todo, para crear conciencia. La detección temprana sigue siendo la pieza angular para derrotar a esta enfermedad. ¡Tócate para que no te toque! #OctubreRosa",1318993848211824641,,https://pbs.twimg.com/media/Ek4B6izWMAAusfq.jpg,,0,0,Twitter for Android,142,162,0,,19/1/2013,"Mazatlán, Sinaloa","Diputada local, orgullosa de la tierra que me vió nacer, rockera de corazón, caminando hacia la utopía... morena",,,View
21/10/2020 12:09,@LiliaSarmient10,"Lilia Sarmiento Gómez, Oficial",Les comparto este video informativo sobre el cáncer de mama en los hombres. No es un padecimiento exclusivo de las mujeres y los hombres también deben autoexplorarse. #OctubreRosa #SigoContigo RT @Tu_IMSS: ¿Sabías que los hombres también pueden padecer #CáncerDeMama? Conoce más en nuestra sesión #EnVivo #OctubreRosa,1318992822062751750,"https://twitter.com/Tu_IMSS/status/1318990482756620288
https://www.pscp.tv/w/cl8rOzEzNjM4MDE3fDFkakdYb055akRCS1pQZx4W2FORxTHMr6raKEZrMfBHcUgb9QUmegBrLHUYWA==",,,1,2,Twitter Web App,211,486,5,,9/10/2019,Congreso De La Ciudad deMexico,Diputada Local GAM Presidenta de la Comisión de Educación https://www.facebook.com/LiliaMariaSarmiento/,http://www.liliasarmiento.com,,View
21/10/2020 12:00,@MedicinaEl,MedicinaPorElDerechoADecidir,"#MPDD #OctubreRosa #CancerDeMama El 65% de los tumores de mama tienen fenotipo luminal; es decir, son HER2 negativos con receptor hormonal positivo. Fuente: Martín, M., Herrero, A., & Echavarría, I. (2015). El cáncer de mama. Arbor, 191(773), 234.",1318990621214953474,,https://pbs.twimg.com/media/Ek3--rHWAAchoSp.jpg,,2,7,Twitter for Android,1937,396,2,,14/5/2020,América Latina,"Grupo de médicas, enfermeras, psicólogas y voluntarias tituladas o en titulación, que apoyan la legalización del aborto.",https://www.facebook.com/medicaabortera/,,View
21/10/2020 11:59,@perimetralp,Perimetral,#DelDatoAlRelato 👁️🔎 | #OctubreRosa #CáncerDeMama 👉 ¿Qué es el cáncer de mama? ¿Conoces las ventajas de la autoexploración? 👂🎧 Escucha esta cápsula informativa: 👇  Infografía por: @itzelinda14,1318990284605325313,"https://perimetral.press/el-cancer-de-mama-existe-mas-alla-de-octubre/
https://view.genial.ly/5f85d90b555a670cfc2ed72c/interactive-content-cancer-de-mama",,,0,4,Twitter Web App,5043,3430,42,,25/7/2013,"Jalisco, México",Periodismo sonoro. Investigamos historias con perspectiva de derechos humanos. En Telegram https://t.me/perimetral en Whastapp https://wa.link/3jr0lq,http://perimetral.press,,View
21/10/2020 11:53,@DifTulancingo,DIF Tulancingo,"Como parte de la prevención y sensibilización en el mes del cáncer de mama, la presidenta del #DIFTulancingo, colocó el distintivo rosa a los funcionarios de las oficinas de Presidencia Municipal. #OctubreRosa #MesRosa #CáncerDeMama #DIFTulancingo",1318988703352737792,,https://pbs.twimg.com/media/Ek39JYiXEAU6nuv.jpg,,0,0,Twitter Web App,208,21,0,,6/10/2017,"Tulancingo de Bravo, Hidalgo",,,,View
21/10/2020 11:47,@elmananareynosa,El Mañana de Reynosa,#Reynosa #OctubreRosa; Tejen productos para enfermos con cáncer. ▶️,1318987201858949120,https://bit.ly/2ILDs68,https://pbs.twimg.com/media/Ek373eaWAAE7yUS.jpg,,0,0,Twitter Web App,14497,308,55,,3/11/2010,"Reynosa,Tamaulipas; México",Perfil oficial EL MAÑANA,http://www.elmanana.com,,View
21/10/2020 11:45,@OcoyoacacGob,Gobierno de Ocoyoacac,"#OctubreRosa | Te invitamos a nuestra videoconferencia “Impacto Psicológico del Cáncer de Mama” el día de hoy, miércoles 21 de octubre a las 16:00 Hrs; que será impartida por nuestro Departamento de la Mujer. Síguenos a través de Facebook/Live.",1318986679500374017,,https://pbs.twimg.com/media/Ek37ZSAX0AAo1de.jpg,,0,1,Hootsuite Inc.,168,18,0,,20/3/2019,"Ocoyoacac, México",Ayuntamiento Municipal Constitucional de Ocoyoacac.,https://ocoyoacac.gob.mx/,,View
21/10/2020 11:40,@Dr_Ivanoncologo,Dr. Iván R. González,"Recuerda que la prevención y la información son nuestras mejores herramientas contra el cáncer de mama, acude con un especialista en caso de detectar alguna de estas señales en tu cuerpo. #DrIvánGonzález #Oncólogo #OctubreRosa #Prevención #Información #CáncerdeMama",1318985419564945410,,https://pbs.twimg.com/media/Ek36MVvXIAMlyJy.png,,0,1,Twitter Web App,822,1138,7,,4/3/2012,"Puebla, Pue.",Soy Internista y Oncólogo en la ciudad de Puebla. El tratamiento del cáncer debe de ser personalizado y adaptarse a las necesidades individuales del paciente.,http://oncologopuebla.mx,,View
21/10/2020 11:36,@munilabanda,Municipio de La Banda,#OctubreRosa 📌 El intendente Pablo Mirolo se reunió con las integrantes de la agrupación “Guerreras contra el cáncer de mama” para coordinar acciones que generen conciencia sobre la incorporación de medidas de prevención que permitan salvar vidas.,1318984434683662338,https://www.labanda.gob.ar/mirolo-coordino-acciones-con-una-organizacion-para-seguir-sumando-a-la-lucha-contra-el-cancer-de-mama/,,,0,0,Twitter for iPhone,596,190,0,,11/3/2013,La Banda - Santiago del Estero,Cuenta oficial de la Municipalidad de La Banda. Intendencia Pablo Mirolo. https://www.facebook.com/MunicipalidadDeLaBanda/,http://www.labanda.gob.ar,,View
21/10/2020 11:15,@ERC_LaSegarra,ERC La Segarra,💟 El president del @cc_urgell Gerard Balcells ens anima a col.laborar en la campanya d'Ecovidrio del #DiaMundialdelCàncerdeMama a #Tàrrega. 👉 Objectiu: recollir fons per la lluita contra el càncer de mama i ♻️ potenciar el reciclatge 💟 Properament a #Agramunt i #Bellpuig,1318979130747215873,,pic.twitter.com/XbrfzkfThh,,0,0,Twitter for Android,358,474,7,,6/6/2016,La Segarra,Comarcal d'Esquerra Republicana de Catalunya a la Segarra,http://locals.esquerra.cat/segarra,,View
21/10/2020 11:11,@daniel_carrillo,Daniel Carrillo Mtz,"En la colonia Nicolás Bravo, mi admiración a Juanita quien ha sido valiente desde hace muchos años para enfrentar esta terrible enfermedad #cancer y mi solidaridad con Lety su hermana, un estandarte de acompañamiento en este proceso continuo de vida. #OctubreRosa",1318978228795617282,,https://pbs.twimg.com/media/Ek3zs98WkAA2c02.jpg,,0,8,Twitter for iPhone,3142,943,25,,18/10/2009,San Nicolás de los Garza,Economía/Finanzas Públicas. México sin Hambre @hambreceronl @gobsanicolas Viva la Familia!,http://www.sanicolas.gob.mx,,View
21/10/2020 11:10,@SergioGDF,Sergio Guerra,"#ÉchaleUnaManoATuSalud | Si tienes entre 40 y 69 años acude a tu unidad de salud y realízate una mastografía, es gratuita. Recuerda que el cáncer de mama es curable si se detecta a tiempo. #OctubreRosa #PrevenirEsSalud @SaludEdomex",1318977945956995073,,https://pbs.twimg.com/media/Ek3zcUwW0AIJwaP.jpg,,2,11,Twitter for Android,1444,284,0,,3/3/2017,"Toluca, México",Subsecretario de Administración y Finanzas de la @SeducEdoMex.,,,View
21/10/2020 11:01,@SEMSedomex,SEMS,#OctubreRosa | #SabíasQue para prevenir el cáncer de mama es importante checarnos una vez al año. #ÉchaleUnaManoATuSalud e infórmate en 👉 . #PrevenirEsSalud @Edomex @SaludEdomex,1318975619049377792,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek3xVXCXEAAV4SH.jpg,,3,2,Buffer,6165,342,13,,3/12/2014,"Toluca, Estado de México",Subsecretaría de Educación Media Superior. @SEDUCedomex,http://edomex.gob.mx/,,View
21/10/2020 11:00,@atq140,Ana Tq,"Un año más al pie del cañón, un año más investigando. Día del cáncer de mama #19DeOctubre #CancerDeMama @GemaMorBue @ASEICAnews @aecc_es @aecc_es #SinCienciaNoHayFuturo",1318975430985158659,,https://pbs.twimg.com/media/Ek3xKZXXYAIkR1n.jpg,,3,15,Twitter for iPhone,182,286,2,,11/3/2013,"Madrid, España",Pathologist. #GI & Liver,,,View
21/10/2020 10:43,@todoaqui4,todoaqui,Lucha contra el Cáncer de Mama: Ampliación del acceso a las prótesis mamarias.  #Lucha #CáncerdeMama #OctubreRosa #PrótesisMamarias #Acceso #Accesibilidad #Mujer #Salud,1318971175729582081,https://todoaqui.uy/2020/10/19/lucha-contra-el-cancer-de-mama-ampliacion-del-acceso-a-las-protesis-mamarias/,https://pbs.twimg.com/media/Ek3tRvaXYAImI3J.jpg,,0,2,Twitter Web App,1237,90,0,,9/3/2019,Chuy,http://Todoaqui.uy,http://www.todoaqui.uy,,View
21/10/2020 10:38,@utec_tgo,UTec Tulancingo (Oficial),"🎀 Este #MesRosa tiene como objetivo crear conciencia y promover que cada vez más mujeres accedan a controles, diagnósticos, tratamientos oportunos y efectivos, para la prevención y tratamiento del Cáncer de Mama. #TuFuturoIniciaAquí #SomosHalcones #SomosUTec #OctubreRosa",1318969854074945542,,pic.twitter.com/mqFQK5ltHc,,0,0,Twitter for iPhone,1820,315,13,,9/1/2013,"Tulancingo Hidalgo, México","Queremos impulsar tu formación académica, ofreciendo carreras innovadoras que proyectan el desarrollo de la región y del país del que formarás parte importante.",http://www.utectulancingo.edu.mx,,View
21/10/2020 10:37,@DelecCientifica,DeLeC Científica,"HOY INSTAGRAM LIVE 🕛 19:30 hs Tratamientos de cáncer de mama con el sistema 𝗧𝗼𝗺𝗼𝗧𝗵𝗲𝗿𝗮𝗽𝘆 Dr. Cristan Porrato, Centro Oncológico Sunchales ATILRA #Instagram #radioterapia #oncologia #19deoctubre",1318969687049461767,,https://pbs.twimg.com/media/Ek3rzQLX0AALouJ.jpg,,0,2,Twitter Web App,1785,2664,12,,28/12/2010,ARG. / UY. / PY. / BO.,Conocimiento científico y actualización tecnológica en medicina. #salud #innovacion #tecnologia #ciencia #equiposmedicos #EducacionMedica,http://www.delec.com.ar,,View
21/10/2020 10:36,@ITEM_Semov,ITEM,"Realízate periódicamente una autoexploración, recuerda que el cáncer de mama se puede detectar oportunamente. @SaludEdomex #ÉchaleUnaManoATuSalud #OctubreRosa #PrevenirEsSalud",1318969302406602755,,https://pbs.twimg.com/media/Ek3rfqPWMAAVE6l.jpg,,0,1,Twitter for Android,707,171,7,,5/12/2016,"Toluca, Estado de México",Instituto del Transporte del Estado de México,https://twitter.com/SEMOV_Edomex,,View
